,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
243,"(600.886, 321.318, 0.94648)","(533.294, 362.551, 0.891855)","(553.76, 362.482, 0.898816)","(515.545, 412.521, 0.863198)","(480.255, 465.555, 0.911802)","(515.614, 362.597, 0.805861)","(533.283, 459.725, 0.429859)","(589.143, 500.74, 0.720542)","(545.038, 533.274, 0.738006)","(553.973, 530.42, 0.766817)","(624.359, 650.979, 0.851808)","(489.032, 621.498, 0.750899)","(527.431, 536.189, 0.679797)","(630.372, 642.076, 0.826384)","(624.395, 753.964, 0.852287)","(597.896, 312.525, 0.916285)","(0, 0, 0)","(571.392, 312.476, 0.846229)","(0, 0, 0)","(674.608, 765.859, 0.785132)","(671.542, 762.903, 0.817215)","(609.754, 765.899, 0.836874)","(427.2, 633.272, 0.623408)","(427.227, 624.445, 0.638902)","(480.2, 600.858, 0.585318)"
244,"(642.076, 321.316, 0.885176)","(577.539, 365.379, 0.844733)","(586.23, 359.616, 0.833892)","(533.222, 397.82, 0.853616)","(480.295, 441.992, 0.893336)","(574.469, 368.47, 0.725875)","(615.667, 459.808, 0.83247)","(671.596, 500.847, 0.911979)","(574.53, 533.327, 0.7615)","(595.033, 530.384, 0.764184)","(683.305, 624.484, 0.845919)","(648.138, 695.169, 0.807581)","(556.749, 542.078, 0.694893)","(633.327, 648.065, 0.756979)","(639.186, 748.126, 0.775852)","(627.537, 312.518, 0.870926)","(0, 0, 0)","(601.083, 315.476, 0.922239)","(0, 0, 0)","(692.22, 771.638, 0.58692)","(686.215, 765.806, 0.490876)","(624.432, 765.62, 0.834569)","(686.275, 762.785, 0.458724)","(686.246, 756.93, 0.374759)","(633.309, 698.107, 0.56184)"
245,"(642.076, 321.311, 0.885777)","(577.542, 365.376, 0.844041)","(586.231, 359.616, 0.833839)","(533.226, 397.83, 0.853204)","(480.297, 441.989, 0.892614)","(574.471, 368.466, 0.725911)","(615.668, 459.804, 0.832923)","(671.603, 500.853, 0.911592)","(574.531, 533.325, 0.761405)","(595.039, 530.38, 0.765056)","(683.301, 624.486, 0.845682)","(648.144, 695.166, 0.805858)","(556.745, 542.079, 0.695307)","(633.335, 648.071, 0.755995)","(639.183, 748.128, 0.777055)","(627.536, 312.515, 0.870593)","(0, 0, 0)","(601.087, 315.476, 0.921082)","(0, 0, 0)","(692.206, 771.638, 0.583419)","(683.378, 765.82, 0.489217)","(624.428, 765.617, 0.833803)","(686.279, 762.806, 0.465809)","(686.278, 759.786, 0.378017)","(633.318, 698.106, 0.560138)"
246,"(642.075, 321.309, 0.886308)","(577.547, 365.381, 0.842712)","(586.23, 359.62, 0.834251)","(533.226, 397.828, 0.853794)","(480.295, 441.989, 0.892238)","(574.48, 368.473, 0.725503)","(615.665, 459.801, 0.833734)","(671.602, 500.857, 0.912699)","(574.533, 533.328, 0.761132)","(595.038, 530.383, 0.764962)","(683.3, 624.488, 0.845547)","(648.149, 695.175, 0.802776)","(556.748, 542.081, 0.695286)","(633.336, 648.077, 0.756298)","(639.192, 748.129, 0.776672)","(627.534, 312.516, 0.871463)","(0, 0, 0)","(601.085, 315.478, 0.92221)","(0, 0, 0)","(692.242, 771.65, 0.581595)","(686.237, 765.811, 0.488523)","(624.428, 765.62, 0.832321)","(686.295, 762.829, 0.462908)","(686.287, 759.814, 0.376105)","(633.324, 698.116, 0.553203)"
247,"(642.076, 321.315, 0.885246)","(577.542, 365.376, 0.843947)","(586.231, 359.616, 0.833956)","(533.227, 397.83, 0.85319)","(480.298, 441.99, 0.892557)","(574.471, 368.465, 0.725897)","(615.668, 459.805, 0.832659)","(671.602, 500.852, 0.911359)","(574.535, 533.326, 0.761354)","(595.042, 530.382, 0.765165)","(683.302, 624.481, 0.845929)","(648.148, 695.168, 0.805374)","(556.749, 542.078, 0.695087)","(633.339, 648.071, 0.756172)","(639.184, 748.129, 0.777171)","(627.537, 312.518, 0.870729)","(0, 0, 0)","(601.087, 315.477, 0.921112)","(0, 0, 0)","(692.21, 771.638, 0.583441)","(686.206, 765.805, 0.489504)","(624.429, 765.616, 0.834136)","(686.288, 762.809, 0.466041)","(686.284, 759.791, 0.377974)","(633.322, 698.108, 0.559479)"
248,"(668.656, 333.049, 0.806925)","(618.496, 365.402, 0.822444)","(624.382, 359.472, 0.867032)","(559.777, 377.262, 0.813714)","(486.238, 412.539, 0.853625)","(601.037, 368.401, 0.651385)","(674.489, 462.634, 0.861789)","(745.177, 489.114, 0.825665)","(600.901, 527.295, 0.765565)","(621.58, 524.332, 0.731112)","(718.646, 633.254, 0.815931)","(809.895, 742.13, 0.833424)","(577.441, 530.293, 0.702658)","(668.539, 624.351, 0.873548)","(633.343, 739.218, 0.79103)","(665.718, 318.354, 0.870273)","(0, 0, 0)","(644.948, 318.286, 0.877644)","(0, 0, 0)","(674.526, 771.67, 0.775792)","(671.495, 765.88, 0.773836)","(621.444, 750.996, 0.839882)","(862.886, 727.527, 0.478419)","(859.871, 742.217, 0.514182)","(812.782, 762.846, 0.642564)"
249,"(668.685, 330.185, 0.806556)","(618.532, 365.415, 0.826466)","(624.387, 356.683, 0.868233)","(562.615, 377.245, 0.81619)","(489.062, 412.525, 0.860009)","(603.854, 368.465, 0.639653)","(674.492, 462.64, 0.862197)","(745.162, 489.118, 0.826951)","(600.88, 527.291, 0.766662)","(621.546, 524.329, 0.7301)","(718.618, 630.419, 0.814101)","(809.889, 742.116, 0.840821)","(577.436, 530.288, 0.702089)","(668.553, 624.35, 0.872582)","(633.329, 739.251, 0.793671)","(668.464, 318.318, 0.873491)","(0, 0, 0)","(644.981, 315.558, 0.877807)","(0, 0, 0)","(674.579, 771.682, 0.775534)","(671.536, 765.876, 0.772807)","(621.409, 751.032, 0.828901)","(865.776, 730.472, 0.48112)","(859.897, 742.231, 0.528281)","(812.768, 762.827, 0.661303)"
250,"(668.684, 330.173, 0.804494)","(618.544, 365.419, 0.826371)","(624.383, 356.683, 0.868649)","(562.62, 377.258, 0.816013)","(489.086, 412.518, 0.859617)","(603.874, 368.469, 0.63777)","(674.486, 462.636, 0.863238)","(745.165, 489.117, 0.827369)","(600.868, 527.3, 0.76675)","(621.533, 524.343, 0.730791)","(718.618, 630.42, 0.814117)","(809.893, 742.117, 0.841202)","(577.425, 530.294, 0.703143)","(668.553, 624.347, 0.872374)","(633.327, 739.25, 0.793791)","(668.464, 318.311, 0.871797)","(0, 0, 0)","(644.982, 315.553, 0.879478)","(0, 0, 0)","(674.564, 771.678, 0.776457)","(671.523, 765.876, 0.773298)","(621.407, 751.026, 0.829636)","(865.827, 733.336, 0.481433)","(859.905, 742.233, 0.529404)","(812.773, 762.827, 0.660826)"
251,"(668.653, 333.015, 0.798257)","(618.528, 365.391, 0.825174)","(624.391, 356.68, 0.866494)","(559.775, 377.267, 0.817484)","(489.073, 412.519, 0.858869)","(603.84, 368.427, 0.64805)","(674.463, 462.62, 0.866235)","(745.134, 489.103, 0.830839)","(600.873, 527.298, 0.765467)","(621.544, 524.346, 0.73081)","(718.615, 630.426, 0.813065)","(809.917, 742.136, 0.836311)","(577.422, 530.289, 0.703791)","(668.533, 621.653, 0.872164)","(633.326, 739.257, 0.794531)","(665.729, 318.326, 0.867052)","(0, 0, 0)","(644.989, 315.559, 0.884366)","(0, 0, 0)","(674.583, 771.67, 0.773118)","(671.535, 765.876, 0.772101)","(621.403, 751.044, 0.827549)","(862.93, 727.521, 0.479422)","(859.891, 742.204, 0.52166)","(812.805, 762.858, 0.658422)"
252,"(701.06, 339, 0.762606)","(647.974, 368.426, 0.775773)","(648.158, 350.725, 0.833366)","(583.27, 362.582, 0.903407)","(506.875, 383.033, 0.863422)","(653.869, 400.796, 0.539778)","(733.32, 462.577, 0.818875)","(809.837, 480.361, 0.884351)","(627.484, 527.421, 0.762272)","(648.148, 524.369, 0.753175)","(762.893, 624.343, 0.908055)","(862.967, 733.355, 0.82491)","(603.977, 533.268, 0.683228)","(689.205, 624.617, 0.872834)","(636.235, 742.087, 0.819122)","(698.103, 321.383, 0.758056)","(0, 0, 0)","(680.368, 318.427, 0.84358)","(0, 0, 0)","(683.302, 768.758, 0.789122)","(671.71, 765.802, 0.775158)","(621.411, 754.007, 0.849612)","(904.064, 712.713, 0.578591)","(904.129, 718.734, 0.692573)","(871.707, 750.988, 0.743913)"
